accuracy,precision,recall,f1_score,roc_auc,Model,Oversampling
0.9952239990234375,0.6576576576576577,0.237012987012987,0.34844868735083534,0.9696482419967651,LogisticRegression,GAN
0.9995976090431213,0.9930795847750865,0.9318181818181818,0.9614740368509213,0.9879626035690308,RandomForest,GAN
0.9981805682182312,0.9951456310679612,0.6655844155844156,0.7976653696498055,0.8530000448226929,kNN,GAN
0.9996851086616516,1.0,0.9415584415584416,0.9698996655518395,0.9921325445175171,XGBoost,GAN
0.9721171855926514,0.98043629736828,0.9635482511588707,0.9719189182008979,0.9928423166275024,LogisticRegression,SMOTE
0.99955153465271,0.9994207172573595,0.9996839443742098,0.9995523134858979,0.9999958276748657,RandomForest,SMOTE
0.8575963377952576,0.8551065572342168,0.861637870487428,0.85835978974803,0.9260654449462891,kNN,SMOTE
0.9998593330383301,0.9997191405701447,1.0,0.9998595505617978,0.9999971389770508,XGBoost,SMOTE
0.9713072180747986,0.9797505004289391,0.9625981141020914,0.9710985730861551,0.9928328394889832,LogisticRegression,ADASYN
0.9996394515037537,0.9995259997893332,0.9997541660081828,0.9996400698791161,0.9999958276748657,RandomForest,ADASYN
0.8518404364585876,0.8483442788144133,0.8574162847460008,0.8528561572654947,0.9216868281364441,kNN,ADASYN
0.9998241066932678,0.9996489318752304,1.0,0.9998244351199986,0.9999988079071045,XGBoost,ADASYN
0.9944867491722107,0.9955307655763377,0.9934506250877932,0.994489607593268,0.999549388885498,LogisticRegression,SVM-SMOTE
0.9997713565826416,0.9998068413289316,0.9997366203118415,0.9997717295873574,0.999909520149231,RandomForest,SVM-SMOTE
0.9849726557731628,0.9849365332958795,0.9850575923584773,0.9849970591075489,0.9940791130065918,kNN,SVM-SMOTE
0.9997977614402771,0.9998595135657213,0.9997366203118415,0.9997980631623309,0.9999563694000244,XGBoost,SVM-SMOTE
